No,X1_transaction_date,X2-house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area
167,2013.4170000000001,0.0,292.9978,6,24.977439999999998,121.54458000000001,73.6
99,2013.4170000000001,16.4,289.3248,5,24.982029999999998,121.54348,51.0
38,2013.1670000000001,12.0,1360.139,1,24.95204,121.54842,25.3
113,2013.4170000000001,9.9,2102.427,3,24.96044,121.51462,23.1
379,2013.3329999999999,37.3,587.8877,8,24.97077,121.54633999999999,37.4
53,2013.5829999999999,32.1,1438.579,3,24.97419,121.5175,27.0
285,2012.9170000000001,15.0,383.2805,7,24.96735,121.54463999999999,34.4
15,2013.5,13.2,1164.838,4,24.99156,121.53406000000001,34.3
219,2013.4170000000001,13.6,492.2313,5,24.96515,121.53737,43.8
128,2013.25,3.8,383.8624,5,24.98085,121.54391000000001,55.0
405,2013.3329999999999,16.4,289.3248,5,24.982029999999998,121.54348,41.2
5,2012.8329999999999,5.0,390.5684,5,24.97937,121.54245,43.1
261,2013.25,17.0,1485.0970000000002,4,24.97073,121.51700000000001,30.7
350,2012.75,7.8,104.8101,5,24.966739999999998,121.54066999999999,47.0
257,2012.6670000000001,14.6,339.2289,1,24.975189999999998,121.53151000000001,26.5
7,2012.6670000000001,34.5,623.4731,7,24.979329999999997,121.53641999999999,40.3
163,2012.75,16.0,4066.587,0,24.942970000000003,121.50341999999999,11.6
139,2013.1670000000001,10.0,942.4664,0,24.97843,121.52406,43.5
308,2012.8329999999999,10.3,3079.89,0,24.9546,121.56626999999999,24.7
314,2013.3329999999999,8.3,104.8101,5,24.966739999999998,121.54066999999999,42.8
368,2012.8329999999999,15.0,1828.319,2,24.96464,121.51531000000001,20.9
118,2013.0,13.6,4197.349,0,24.93885,121.50383000000001,13.0
346,2012.6670000000001,0.0,185.4296,0,24.9711,121.5317,37.9
109,2013.4170000000001,31.4,592.5006,2,24.9726,121.53561,34.1
121,2013.1670000000001,13.3,492.2313,5,24.96515,121.53737,31.3
114,2013.3329999999999,14.8,393.2606,6,24.96172,121.53811999999999,7.6
352,2012.8329999999999,4.0,2180.245,3,24.96324,121.51241,28.6
234,2013.3329999999999,39.7,333.3679,9,24.98016,121.53931999999999,32.4
289,2013.5829999999999,16.6,323.6912,6,24.97841,121.5428,51.0
225,2013.3329999999999,34.5,324.9419,6,24.97814,121.5417,46.0
408,2013.0,5.2,2408.993,0,24.95505,121.55963999999999,22.3
82,2013.0,30.8,377.7956,6,24.964270000000003,121.53963999999999,36.8
302,2012.75,38.0,461.7848,0,24.97229,121.53445,35.7
45,2013.5829999999999,2.7,533.4762,4,24.97445,121.54765,53.9
354,2013.5,4.1,2147.376,3,24.962989999999998,121.51284,31.3
237,2013.1670000000001,3.6,373.8389,10,24.983220000000003,121.53765,61.9
81,2013.5,11.8,533.4762,4,24.97445,121.54765,40.3
333,2013.1670000000001,39.8,617.7134,2,24.97577,121.53475,39.6
151,2013.25,35.8,170.7311,7,24.96719,121.54269,48.5
391,2013.5,32.8,377.8302,9,24.971510000000002,121.5435,38.6
131,2013.25,29.6,535.5269999999999,8,24.98092,121.53653,37.5
208,2013.0829999999999,38.5,665.0636,3,24.97503,121.53692,34.2
218,2012.9170000000001,28.0,372.6242,6,24.978379999999998,121.54118999999999,40.8
251,2013.1670000000001,39.2,424.7132,7,24.97429,121.53917,30.0
90,2013.5,23.0,3947.945,0,24.94783,121.50243,25.3
136,2012.9170000000001,18.9,1009.235,0,24.96357,121.54951000000001,20.8
87,2012.8329999999999,1.8,1455.7979999999998,1,24.9512,121.54899999999999,27.0
331,2013.0829999999999,32.0,1156.777,0,24.94935,121.53046,12.8
296,2013.1670000000001,18.2,2179.59,3,24.962989999999998,121.51252,21.8
191,2013.5,35.3,616.5735,8,24.97945,121.53641999999999,42.3
298,2012.8329999999999,34.9,567.0349,4,24.970029999999998,121.5458,28.5
135,2012.6670000000001,33.4,186.9686,6,24.96604,121.54211000000001,42.2
233,2012.9170000000001,27.1,4412.765,1,24.95032,121.49587,17.4
383,2013.0,16.3,3529.5640000000003,0,24.93207,121.51597,29.3
89,2012.9170000000001,8.9,1406.43,0,24.98573,121.52758,48.0
376,2013.25,21.7,1157.988,0,24.96165,121.55011,23.8
372,2013.5,4.1,312.8963,5,24.95591,121.53956000000001,51.7
301,2013.0829999999999,2.5,156.2442,4,24.96696,121.53992,36.9
210,2012.8329999999999,34.8,175.6294,8,24.973470000000002,121.54271000000001,40.9
270,2013.0,17.6,837.7233,0,24.96334,121.54767,23.0
59,2013.5,30.3,4510.359,1,24.94925,121.49542,22.6
345,2013.5,34.6,3085.17,0,24.998,121.5155,41.2
49,2013.4170000000001,24.2,4605.749,0,24.946839999999998,121.49578000000001,13.4
100,2013.4170000000001,6.4,90.45606,9,24.97433,121.5431,62.2
86,2012.75,0.0,338.9679,9,24.968529999999998,121.54413000000001,50.8
217,2013.25,37.8,590.9292,1,24.971529999999998,121.53558999999998,39.7
222,2013.3329999999999,9.0,1402.016,0,24.985689999999998,121.5276,38.5
322,2012.9170000000001,16.9,964.7496,4,24.98872,121.53411000000001,37.7
159,2013.0,11.6,390.5684,5,24.97937,121.54245,39.4
230,2013.5829999999999,31.0,1156.412,0,24.9489,121.53095,19.0
72,2013.0829999999999,35.5,640.7391,3,24.97563,121.53715,40.8
6,2012.6670000000001,7.1,2175.03,3,24.96305,121.51253999999999,32.1
75,2012.9170000000001,6.8,379.5575,10,24.98343,121.53761999999999,54.4
20,2012.6670000000001,1.5,23.382839999999998,7,24.96772,121.54101999999999,47.7
300,2013.1670000000001,33.2,121.7262,10,24.98178,121.54059,46.1
28,2013.25,10.4,276.449,5,24.95593,121.53913,33.6
144,2013.5,13.6,492.2313,5,24.96515,121.53737,40.1
52,2013.0829999999999,31.3,1758.406,1,24.95402,121.55282,20.7
409,2013.4170000000001,18.5,2175.744,3,24.9633,121.51243000000001,28.1
407,2013.1670000000001,1.9,372.1386,7,24.972929999999998,121.54026,40.5
305,2013.4170000000001,20.0,1626.0829999999999,3,24.96622,121.51668000000001,29.4
8,2013.4170000000001,20.3,287.6025,6,24.980420000000002,121.54228,46.7
342,2013.0,13.0,750.0704,2,24.97371,121.54951000000001,37.0
186,2012.75,31.4,1447.286,3,24.97285,121.5173,21.5
14,2012.6670000000001,20.4,2469.645,4,24.96108,121.51046000000001,23.8
165,2012.8329999999999,0.0,185.4296,0,24.9711,121.5317,55.2
334,2012.75,7.8,104.8101,5,24.966739999999998,121.54066999999999,38.4
133,2013.1670000000001,26.6,482.7581,5,24.97433,121.53863,37.5
236,2012.75,12.9,250.63099999999997,7,24.96606,121.54297,39.3
411,2012.6670000000001,5.6,90.45606,9,24.97433,121.5431,50.0
102,2012.8329999999999,12.7,170.1289,1,24.97371,121.52984,32.9
339,2012.9170000000001,31.5,258.186,9,24.96867,121.54331,36.3
182,2013.1670000000001,11.6,201.8939,8,24.98489,121.54121,55.9
303,2013.5,16.5,2288.011,3,24.95885,121.51359,23.2
364,2013.5,32.3,109.9455,10,24.981820000000003,121.54086000000001,48.0
11,2013.0829999999999,34.8,405.2134,1,24.973489999999998,121.53372,41.4
371,2012.75,15.9,289.3248,5,24.982029999999998,121.54348,42.1
297,2012.75,12.5,1144.4360000000001,4,24.99176,121.53456000000001,34.1
92,2013.25,9.1,1402.016,0,24.985689999999998,121.5276,43.2
170,2013.4170000000001,8.4,1962.628,1,24.95468,121.55481,23.5
304,2013.5,38.3,439.7105,0,24.971610000000002,121.53423000000001,38.4
68,2013.5,8.5,104.8101,5,24.966739999999998,121.54066999999999,56.8
169,2013.0829999999999,27.6,515.1122,5,24.962989999999998,121.5432,37.4
258,2013.25,17.3,444.1334,1,24.97501,121.5273,43.9
220,2012.75,29.3,529.7771,8,24.98102,121.53655,40.2
311,2013.5829999999999,16.4,1643.499,2,24.95394,121.55174,24.7
248,2013.3329999999999,21.7,1055.067,0,24.96211,121.54928000000001,23.1
244,2013.4170000000001,32.8,204.1705,8,24.98236,121.53923,48.2
152,2013.5,4.9,387.7721,9,24.98118,121.53788,44.7
269,2013.4170000000001,17.2,390.5684,5,24.97937,121.54245,40.1
